Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0402_1005Metric",179.100000,-135.200000,90.000000,bottom
"C1","100n","C_0402_1005Metric",153.400000,-135.200000,90.000000,bottom
"C1","100n","C_0402_1005Metric",102.000000,-135.200000,90.000000,bottom
"C1","100n","C_0402_1005Metric",127.700000,-135.200000,90.000000,bottom
"C9","10u","C_1206_3216Metric",136.000000,-133.500000,90.000000,bottom
"C9","10u","C_1206_3216Metric",161.700000,-133.500000,90.000000,bottom
"C9","10u","C_1206_3216Metric",110.300000,-133.500000,90.000000,bottom
"C9","10u","C_1206_3216Metric",187.400000,-133.500000,90.000000,bottom
"C10","22u","C_1206_3216Metric",104.300000,-132.725000,90.000000,bottom
"C10","22u","C_1206_3216Metric",155.700000,-132.725000,90.000000,bottom
"C10","22u","C_1206_3216Metric",181.400000,-132.725000,90.000000,bottom
"C10","22u","C_1206_3216Metric",130.000000,-132.725000,90.000000,bottom
"C12","10u","C_1206_3216Metric",127.000000,-139.900000,-90.000000,bottom
"C12","10u","C_1206_3216Metric",178.400000,-139.900000,-90.000000,bottom
"C12","10u","C_1206_3216Metric",152.700000,-139.900000,-90.000000,bottom
"C12","10u","C_1206_3216Metric",101.300000,-139.900000,-90.000000,bottom
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",167.700000,-136.300000,-90.000000,bottom
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",142.000000,-136.300000,-90.000000,bottom
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",193.400000,-136.300000,-90.000000,bottom
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",116.300000,-136.300000,-90.000000,bottom
"L3","NRS5030T3R3MMGJ","L_Taiyo-Yuden_NR-50xx",185.800000,-138.700000,180.000000,bottom
"L3","NRS5030T3R3MMGJ","L_Taiyo-Yuden_NR-50xx",134.400000,-138.700000,180.000000,bottom
"L3","NRS5030T3R3MMGJ","L_Taiyo-Yuden_NR-50xx",160.100000,-138.700000,180.000000,bottom
"L3","NRS5030T3R3MMGJ","L_Taiyo-Yuden_NR-50xx",108.700000,-138.700000,180.000000,bottom
"L4","NRH2412T3R3MNGH","L_Taiyo-Yuden_NR-24xx",155.375000,-136.525000,180.000000,bottom
"L4","NRH2412T3R3MNGH","L_Taiyo-Yuden_NR-24xx",103.975000,-136.525000,180.000000,bottom
"L4","NRH2412T3R3MNGH","L_Taiyo-Yuden_NR-24xx",129.675000,-136.525000,180.000000,bottom
"L4","NRH2412T3R3MNGH","L_Taiyo-Yuden_NR-24xx",181.075000,-136.525000,180.000000,bottom
"R5","1M","C_0201_0603Metric",185.100000,-131.100000,180.000000,bottom
"R5","1M","C_0201_0603Metric",108.000000,-131.100000,180.000000,bottom
"R5","1M","C_0201_0603Metric",133.700000,-131.100000,180.000000,bottom
"R5","1M","C_0201_0603Metric",159.400000,-131.100000,180.000000,bottom
"R6","137K","C_0201_0603Metric",157.800000,-131.100000,180.000000,bottom
"R6","137K","C_0201_0603Metric",106.400000,-131.100000,180.000000,bottom
"R6","137K","C_0201_0603Metric",183.500000,-131.100000,180.000000,bottom
"R6","137K","C_0201_0603Metric",132.100000,-131.100000,180.000000,bottom
"R12","1K","C_0201_0603Metric",126.520000,-136.700000,0.000000,bottom
"R12","1K","C_0201_0603Metric",177.920000,-136.700000,0.000000,bottom
"R12","1K","C_0201_0603Metric",152.220000,-136.700000,0.000000,bottom
"R12","1K","C_0201_0603Metric",100.820000,-136.700000,0.000000,bottom
"U2","MP3414A","TSOT-23-8",107.400000,-133.700000,90.000000,bottom
"U2","MP3414A","TSOT-23-8",184.500000,-133.700000,90.000000,bottom
"U2","MP3414A","TSOT-23-8",133.100000,-133.700000,90.000000,bottom
"U2","MP3414A","TSOT-23-8",158.800000,-133.700000,90.000000,bottom
"U3","LM3671","TSOT-23-5",155.600000,-140.100000,90.000000,bottom
"U3","LM3671","TSOT-23-5",181.300000,-140.100000,90.000000,bottom
"U3","LM3671","TSOT-23-5",129.900000,-140.100000,90.000000,bottom
"U3","LM3671","TSOT-23-5",104.200000,-140.100000,90.000000,bottom
"U4","BQ21040DBV","SOT-23-6",98.000000,-138.100000,0.000000,bottom
"U4","BQ21040DBV","SOT-23-6",149.400000,-138.100000,0.000000,bottom
"U4","BQ21040DBV","SOT-23-6",123.700000,-138.100000,0.000000,bottom
"U4","BQ21040DBV","SOT-23-6",175.100000,-138.100000,0.000000,bottom
"AE1","2450AT18A100E-AEC","R_1206_3216Metric",175.200000,-130.950000,180.000000,top
"AE1","2450AT18A100E-AEC","R_1206_3216Metric",149.500000,-130.950000,180.000000,top
"AE1","2450AT18A100E-AEC","R_1206_3216Metric",98.100000,-130.950000,180.000000,top
"AE1","2450AT18A100E-AEC","R_1206_3216Metric",123.800000,-130.950000,180.000000,top
"C2","100n","C_0402_1005Metric",106.100000,-141.800000,0.000000,top
"C2","100n","C_0402_1005Metric",131.800000,-141.800000,0.000000,top
"C2","100n","C_0402_1005Metric",157.500000,-141.800000,0.000000,top
"C2","100n","C_0402_1005Metric",183.200000,-141.800000,0.000000,top
"C3","100n","C_0402_1005Metric",185.400000,-132.070000,90.000000,top
"C3","100n","C_0402_1005Metric",134.000000,-132.070000,90.000000,top
"C3","100n","C_0402_1005Metric",159.700000,-132.070000,90.000000,top
"C3","100n","C_0402_1005Metric",108.300000,-132.070000,90.000000,top
"C4","100n","C_0402_1005Metric",180.600000,-132.070000,90.000000,top
"C4","100n","C_0402_1005Metric",129.200000,-132.070000,90.000000,top
"C4","100n","C_0402_1005Metric",103.500000,-132.070000,90.000000,top
"C4","100n","C_0402_1005Metric",154.900000,-132.070000,90.000000,top
"C5","15p","C_0201_0603Metric",159.900000,-130.570000,0.000000,top
"C5","15p","C_0201_0603Metric",108.500000,-130.570000,0.000000,top
"C5","15p","C_0201_0603Metric",134.200000,-130.570000,0.000000,top
